17015	31.1374	41.0895	0	2019	10	4	6	0	9999
17020	32.3569	41.6248	0	2019	10	4	6	0	9999
17022	31.777917	41.449242	0	2019	10	4	6	0	9999
17024	33.7636	41.9789	0	2019	10	4	6	0	9999
17026	35.1545	42.0299	0	2019	10	4	6	0	9999
17030	36.256389	41.344167	0	2019	10	4	6	0	9999
17031	36.5562	41.2583	0	2019	10	4	6	0	9999
17033	37.8858	40.9838	0	2019	10	4	6	0	9999
17034	38.3878	40.9227	0	2019	10	4	6	0	9999
17038	39.783	40.995	0	2019	10	4	6	0	9999
17040	40.5013	41.04	0	2019	10	4	6	0	9999
17042	41.433	41.4065	0	2019	10	4	6	0	9999
17045	41.8187	41.1752	0	2019	10	4	6	0	9999
17046	42.7055	41.1061	0	2019	10	4	6	0	9999
17050	26.5508	41.6767	0	2019	10	4	6	0	9999
17052	27.2178	41.7382	0	2019	10	4	6	0	9999
17056	27.4965	40.9585	0	2019	10	4	6	0	9999
17058	28.728836	41.264714	0	2019	10	4	6	0	9999
17059	29.0384	41.2505	0	2019	10	4	6	0	9999
17060	28.8208	40.9819	0	2019	10	4	6	0	9999
17061	29.0502	41.1464	0	2019	10	4	6	0	9999
17063	29.3033	40.8977	0	2019	10	4	6	0	9999
17064	29.1558	40.9113	0	2019	10	4	6	0	9999
17066	29.9173	40.7663	0	2019	10	4	6	0	9999
17068	30.08	40.73	0	2019	10	4	6	0	9999
17069	30.3934	40.7676	0	2019	10	4	6	0	9999
17070	31.6022	40.7329	0	2019	10	4	6	0	9999
17072	31.1488	40.8437	0	2019	10	4	6	0	9999
17074	33.7756	41.371	0	2019	10	4	6	0	9999
17077	32.6294	41.2327	0	2019	10	4	6	0	9999
17080	33.6102	40.6082	0	2019	10	4	6	0	9999
17082	35.5258	40.8357	0	2019	10	4	6	0	9999
17084	34.9362	40.5461	0	2019	10	4	6	0	9999
17085	35.8353	40.6668	0	2019	10	4	6	0	9999
17086	36.5577	40.3312	0	2019	10	4	6	0	9999
17088	39.4653	40.4598	0	2019	10	4	6	0	9999
17089	40.2207	40.2547	0	2019	10	4	6	0	9999
17090	37.002	39.7437	0	2019	10	4	6	0	9999
17092	39.525	39.716	0	2019	10	4	6	0	9999
17094	39.4868	39.7523	0	2019	10	4	6	0	9999
17095	41.2544	39.9058	0	2019	10	4	6	0	9999
17096	41.1897	39.9529	0	2019	10	4	6	0	9999
17098	43.1116	40.564	0	2019	10	4	6	0	9999
17099	43.0522	39.7253	0	2019	10	4	6	0	9999
17100	44.0523	39.9227	0	2019	10	4	6	0	9999
17109	25.884	40.2029	0	2019	10	4	6	0	9999
17112	26.3993	40.141	0	2019	10	4	6	0	9999
17115	27.9737	40.3245	0	2019	10	4	6	0	9999
17116	29.0133	40.2308	0	2019	10	4	6	0	9999
17118	29.5624	40.2552	0	2019	10	4	6	0	9999
17119	29.28663	40.660344	0	2019	10	4	6	0	9999
17120	29.9772	40.1414	0	2019	10	4	6	0	9999
17127	32.5657	40.0788	0	2019	10	4	6	0	9999
17128	32.9992	40.124	0	2019	10	4	6	0	9999
17129	32.6854	39.9558	0	2019	10	4	6	0	9999
17130	32.8637	39.9727	0	2019	10	4	6	0	9999
17131	32.7387	39.9343	0	2019	10	4	6	0	9999
17135	33.5181	39.8433	0	2019	10	4	6	0	9999
17140	34.8159	39.8243	0	2019	10	4	6	0	9999
17143	27.0253	39.5592	0	2019	10	4	6	0	9999
17150	27.9201	39.6326	0	2019	10	4	6	0	9999
17155	29.9891	39.4171	0	2019	10	4	6	0	9999
17160	34.156098	39.163934	0	2019	10	4	6	0	9999
17165	39.5408	39.1058	0	2019	10	4	6	0	9999
17170	43.337	38.469	0	2019	10	4	6	0	9999
17175	26.6861	39.3113	0	2019	10	4	6	0	9999
17180	26.888	39.0737	0	2019	10	4	6	0	9999
17184	27.8233	38.9118	0	2019	10	4	6	0	9999
17185	29.4713	38.68	0	2019	10	4	6	0	9999
17186	27.4049	38.6153	0	2019	10	4	6	0	9999
17190	30.5604	38.738	0	2019	10	4	6	0	9999
17191	32.92186	38.650578	0	2019	10	4	6	0	9999
17192	33.9987	38.3705	0	2019	10	4	6	0	9999
17193	34.7025	38.6163	0	2019	10	4	6	0	9999
17195	35.4908	38.773	0	2019	10	4	6	0	9999
17197	38.25	38.35	0	2019	10	4	6	0	9999
17200	38.0934	38.4343	0	2019	10	4	6	0	9999
17202	39.2973	38.6058	0	2019	10	4	6	0	9999
17203	40.5007	38.8847	0	2019	10	4	6	0	9999
17204	41.5023	38.7509	0	2019	10	4	6	0	9999
17208	42.1625	38.475	0	2019	10	4	6	0	9999
17210	41.9354	37.9319	0	2019	10	4	6	0	9999
17218	27.0144	38.5127	0	2019	10	4	6	0	9999
17219	27.1481	38.295	0	2019	10	4	6	0	9999
17220	27.0819	38.3949	0	2019	10	4	6	0	9999
17221	26.3724	38.3036	0	2019	10	4	6	0	9999
17232	27.2652	37.8597	0	2019	10	4	6	0	9999
17234	27.8379	37.8402	0	2019	10	4	6	0	9999
17237	29.0921	37.762	0	2019	10	4	6	0	9999
17238	30.294	37.722	0	2019	10	4	6	0	9999
17239	31.4297	38.3688	0	2019	10	4	6	0	9999
17240	30.5679	37.7848	0	2019	10	4	6	0	9999
17241	30.3683	37.8554	0	2019	10	4	6	0	9999
17242	31.7463	37.6777	0	2019	10	4	6	0	9999
17244	32.574	37.9837	0	2019	10	4	6	0	9999
17246	33.2202	37.1932	0	2019	10	4	6	0	9999
17248	34.0485	37.5255	0	2019	10	4	6	0	9999
